,userId,tag
1624,27902,kidnapping
1630,28090,"sandra bullock,antonio banderas,brad pitt,kirsten dunst,tom cruise,robin wright penn,tom hanks,jodie foster,meryl streep,sandra bullock,antonio banderas,glenn close,meryl streep,winona ryder,antonio banderas,tom hanks,anthony hopkins,jodie foster,ewan mcgregor,anthony hopkins,julianne moore,annette bening,glenn close,jena malone,jodie foster,kate winslet,leonardo dicaprio,gwyneth paltrow,viggo mortensen,meryl streep,dianne wiest,johnny depp,winona ryder,dianne wiest,evan rachel wood,nicole kidman,sandra bullock,stockard channing,cate blanchett,ewan mcgregor,jonathan rhys meyers,toni collette,ewan mcgregor,michael caine,emily watson,rachel griffiths,anthony hopkins,nicole kidman,tom cruise,haley joel osment,toni collette,allison janney,annette bening,kevin spacey,mena suvari,thora birch,chloe sevigny,hilary swank,brad pitt,edward norton,helena bonham carter,meryl streep,john c. reilly,julianne moore,philip seymour hoffman,tom cruise,angelina jolie,winona ryder,nicole kidman,tom cruise,geena davis,michael pitt,susan sarandon,sandra bullock,viggo mortensen,kirsten dunst,billy crudup,fairuza balk,frances mcdormand,jason lee,kate hudson,patrick fugit,philip seymour hoffman,zooey deschanel,haley joel osment,helen hunt,kevin spacey,johnny depp,judi dench,juliette binoche,cate blanchett,helen hunt,tom hanks,anthony hopkins,julianne moore,alan rickman,rachel griffiths,johnny depp,rachel griffiths,ewan mcgregor,nicole kidman,annette bening,meryl streep,haley joel osment,scarlett johansson,thora birch,helena bonham carter,nicole kidman,anthony hopkins,jeff bridges,kevin spacey,drew barrymore,jake gyllenhaal,jena malone,maggie gyllenhaal,noah wyle,alan rickman,audrey tatou,cate blanchett,elijah wood,viggo mortensen,cate blanchett,judi dench,julianne moore,kevin spacey,jodie foster,michael pitt,sandra bullock,kate winslet,hugh grant,toni collette,anthony hopkins,edward norton,emily watson,philip seymour hoffman,ralph fiennes,cate blanchett,alison lohman,noah wyle,renee zellweger,robin wright penn,antonio banderas,edward norton,salma hayek,alan rickman,maggie gyllenhaal,meryl streep,nicolas cage,cate blanchett,elijah wood,viggo mortensen,edward norton,philip seymour hoffman,john c. reilly,renee zellweger,allison janney,claire danes,ed harris,john c. reilly,julianne moore,meryl streep,miranda richardson,nicole kidman,toni collette,adrien brody,bill murray,scarlett johansson,cate blanchett,alison lohman,ewan mcgregor,helena bonham carter,cillian murphy,colin firth,scarlett johansson,cate blanchett,elijah wood,viggo mortensen,jude law,nicole kidman,philip seymour hoffman,renee zellweger,eva green,michael pitt,jim carrey,kate winslet,kirsten dunst,nicole kidman,alan rickman,emma thompson,nicole kidman,colin farrell,dallas roberts,robin wright penn,sissy spacek,dustin hoffman,johnny depp,kate winslet,dustin hoffman,jim carrey,meryl streep,audrey tatou,gaspard ulliel,jodie foster,helena bonham carter,johnny depp,joseph gordon-levitt,helena bonham carter,philip seymour hoffman,alan rickman,miranda richardson,ralph fiennes,kirsten dunst,toni collette,brad pitt,cate blanchett,dustin hoffman,emma thompson,maggie gyllenhaal,will ferrell,edward norton,jessica biel,annette bening,evan rachel wood,gwyneth paltrow,joseph cross,kate winslet,clive owen,julianne moore,michael caine,alan rickman,ben whishaw,dustin hoffman,kate winslet,cate blanchett,judi dench,gaspard ulliel,jessica biel,nicolas cage,alan rickman,emma thompson,helena bonham carter,ralph fiennes"
1633,28142,"Adrien Brody,atmospheric,ensemble cast,John Travolta,meditative,philosophical,action,adventure,beginning,future,Leonard Nimoy,sci-fi,time travel"
1635,28155,"dystopia,Gilliam,surreal,no dialogue,satire,Bruce Willis,Tokyo,Philip K. Dick,Steven Spielberg,no dialogue,Clint Eastwood,surreal"
1639,28195,"vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,hs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,hs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,hs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,hs,vhs,vhs"
1643,28238,Clint Eastwood
1644,28239,"In Netflix queue,based on a comic,craptacular,Lori Petty,Malcolm McDowell,Disney animated feature,adolescent gays,gay,gay romance,politics,theme:politics,Errol Morris,black comedy,dark comedy,dystopia,satire,satirical,thought-provoking,In Netflix queue,Cult Classic,dark comedy,humorous,quirky,based on a play,Gary Oldman,Richard Dreyfuss,In Netflix queue,In Netflix queue,predictable movie,utter shit,lesbian,Teddy Award,In Netflix queue,franchise,slasher,franchise,Sequel fever,slasher,franchise,slasher,In Netflix queue,crime,Edward Norton,powerful ending,racism,rape,thought-provoking,franchise,franchise,franchise,franchise,franchise,franchise,comedy for kids,dumb,In Netflix queue,In Netflix queue,gross but funny,Gross-out,stupid,In Netflix queue,black comedy,quirky,In Netflix queue,Dudley Moore,In Netflix queue,In Netflix queue,cult film,disjointed timeline,Mindfuck,twist ending,In Netflix queue,best pokemon movie,Video game connection,babies,prime time stupid family movie,Talking Babies,campy,cult film,sexuality,transgender,sequel,Gay,quirky,romance,In Netflix queue,Ingmar Bergman,meditative,anti-Semitism,In Netflix queue,propaganda,religion,In Netflix queue,Woody Allen,Artistic,cancer,comic books,patriotic,adapted from:book,Crappy Remake,violently stupid,In Netflix queue,In Netflix queue,atmospheric,In Netflix queue,cult film,In Netflix queue,In Netflix queue,In Netflix queue,black comedy,england,offbeat,parody,Simon Pegg,spoof,zombie,Tod Browning,atmospheric,FEMMES FATALES,Oscar (Best Documentary Feature),subgenre:MakingOf (movie),In Netflix queue,crossword puzzles,documentary,gay propaganda,adapted from:book,7n Up (series),arcade,documentary,father daughter relationship,father-son relationship,quirky subculture,coming out,gay,Gay Character,Gay Lead Character,gay relationship,gay romance,homosexuality,surfing,Oscar (Best Documentary Feature)"
1649,28340,"need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own,need to own"
1651,28456,"amelie-esque,stark,florida romance,vibrant,snarky,lisbeen,non-obvious,passionate,modern,three pillows,chopra,interacial romance,truly dazzling,art study,perfect,sexy,potsmoking children,new favorite movie,bullshit rape scene,annoying"
1653,28529,"slow,slow,boring,stupid,Boring"
1659,28599,"Kevin Spacey,friendship,Morgan Freeman,narrated,thought-provoking,touching,dark comedy,long,multiple storylines,overrated,alternate reality,atmospheric,cannibalism,dark humor,quirky,surreal,courtroom drama,good dialogue,social commentary,thought-provoking,dark comedy,dark humor,social commentary,boring,Philip Seymour Hoffman,slow,memory,narrated,nonlinear,psychology,twist ending,beautiful,metaphysics,rotoscoping,surreal,thought-provoking,BDSM,black comedy,Maggie Gyllenhaal,gloomy,mental illness,Lindsay Lohan,boring,slow paced,Julia Stiles,Strong Women,existentialism,Jude Law,philosophy,clever,Complicated,complicated plot,time travel,choir,feel-good,French,heartwarming,music,Nicolas Cage,black comedy,funny,narrated,satire,witty,awkward,characters,dysfunctional family,high squirm factor,interesting,quirky,smart comedy,weird,writers,pointless,boring,overrated,slow,artistic,atmospheric,hard to understand,hugh jackman,philosophical,thought-provoking,visually appealing,cliche,not original,plot holes,poorly thought out premise,boring,baking,food,overrated,Simon Pegg,awkward,off-beat comedy,slow,dreams,lucid dreaming,Simon Pegg,soundtrack,visually appealing,brothers,dark comedy,india,road trip,slow,cute,delusional,emotional,feel-good,I wanted to hug this movie,less than 300 ratings,mental illness,cinematography,depressing,entirely dialogue,philosophical,thought-provoking,unique,90% drama 10% comedy,elderly,intellectual,Laura Linney,Philip Seymour Hoffman,bokeh,boring,soundtrack,visually appealing,Daniel Day-Lewis,soundtrack,visually appealing,cliche,difficult protagonist,funny,no plot,meta,surreal,Bradley Cooper,funny,Jim carrey,too many plot threads,funny,quirky,realistic,witty,alan arkin,Amy Adams,Emily Blunt,witty,brad pitt,dark comedy,gore,stupid,cheesy,not convincing,Paul Giamatti,asperger syndrome,emotional,Hugh Dancy,romantic,Jason Bateman,Kristen Wiig,Mila Kunis,Abbie Cornish,sad,bittersweet,good message,lame,bad ending,abstract,psychedelic,too long,dreams,great soundtrack,soundtrack,visually appealing,music,quirky,surreal,visually appealing,no closure,romance,disturbing,torture,anti-hero,funny,boring,self obsessed,Johnny Depp,Natalie Portman,Michael Fassbender,shallow characters,Unexpected Ending,lame,great soundtrack,interesting characters,psychology,stylistic,mila kunis,Earnest protagonist,social commentary,slow,weak ending,cheesy,the guy wasn't even that attractive,boring,not engaging,predictable,slow,food,inspirational,sushi,based on a true story,Hugh Dancy,sexuality,Edward Norton,quirky,surreal,Mila Kunis,predictable,Unfunny,chris messina,human condition,Jenna Fischer,real,Magic Realism,quirky,characters too old,only married people would enjoy this,Captivating,character development,Emma Watson,touching,hard to watch,painful to watch,true story,atmospheric,pretentious,visually appealing,bradley cooper,football,great characters,moms,soccer,drinking,cinematography,predictable,religion,space,visually appealing,family,funny,dramatic comedy,boring,abortion,sweet,based on a true story,touching"
1666,28688,"author:anne rice,journalism,vampires,drugs,non-linear,quentin tarantino,american history,flashbacks,running scene,cannibalism,fbi,serial killer,narcolepsy,so bad it's good,bullying,high school,teenager,mystery,night,psychology,romance,polish,lana del rey,short,action,comedy,stunt double,short,action,LGBT,psychology,women,zombie,ghost,horror,oiwa,relationship,theatre"
1672,28744,"chick flick,chick flick,favorite,chick flick,comedy,funny,chick flick,chick flick,girlie movie,Adam Sandler,funny,true story,bad one,horror,black,rap,action,scifi,chick flick,love story,sucky,ocean/beach,chick flick,hottie,Gay Cowboy,oscar movie,funny,sad,nudity,Musical Sucks.,chick flick,different,love story,disappointing"
